name,problem,method,k,d4_time_s,d4_status,d4_result,model_count,kissat_time_s,kissat_status,kissat_result,d4_timeout,kissat_timeout,model_count_plus1,d4_speedup_vs_method_k0,kissat_speedup_vs_method_k0,models_ratio_vs_method_k0,tool_time_s,tool_runs,amortized_tool_time_s,total_d4_time_s,total_kissat_time_s,tool_share_total_d4,tool_share_total_kissat,d4_net_speedup_vs_method_k0,kissat_net_speedup_vs_method_k0
golf_g5_p3_w6_neighbors_k180,golf_g5_p3_w6,neighbors,180,36003.2,n,,,2.231,s,sat,True,False,,0.9999444493822771,1.6777229941730167,,2.8631277084350586,1,2.8631277084350586,36006.06312770843,5.0941277084350585,7.95179328070372e-05,0.5620447449117104,0.9998649358667404,0.7347676018805324
golf_g5_p3_w6_neighbors_k270,golf_g5_p3_w6,neighbors,270,36010.5,n,,,2.617,s,sat,True,False,,0.9997417419919189,1.4302636606801682,,6.305211544036865,1,6.305211544036865,36016.80521154404,8.922211544036866,0.00017506304368206238,0.7066870711276662,0.9995667241596699,0.4195148233737658
golf_g5_p3_w6_neighbors_k360,golf_g5_p3_w6,neighbors,360,36004.7,n,,,3.076,s,sat,True,False,,0.9999027904690221,1.2168400520156046,,10.927559614181519,1,10.927559614181519,36015.62755961418,14.003559614181519,0.00030341161197577037,0.7803415642345028,0.9995994083515468,0.2672891824025538
golf_g5_p3_w6_neighbors_k450,golf_g5_p3_w6,neighbors,450,36010.3,n,,,3.596,s,sat,True,False,,0.9997472945240665,1.0408787541713014,,15.57660460472107,1,15.57660460472107,36025.876604604724,19.17260460472107,0.0004323726741108671,0.8124407155867326,0.9993150311128981,0.1952264742933426
golf_g5_p3_w6_nongen_k0,golf_g5_p3_w6,nongen,0,36000.6,n,,,3.973,s,sat,True,False,,1.0,1.0,,0.011781454086303711,1,0.011781454086303711,36000.611781454085,3.9847814540863036,3.272570521252362e-07,0.0029566123568011728,1.0,1.0
golf_g5_p3_w6_nongen_k90,golf_g5_p3_w6,nongen,90,36001.1,n,,,2.284,s,sat,True,False,,0.9999861115354809,1.7394921190893171,,0.9880614280700684,1,0.9880614280700684,36002.08806142807,3.272061428070068,2.744455894847549e-05,0.3019690949545676,0.999958994601328,1.2178198795114348
golf_g5_p3_w6_nongen_k180,golf_g5_p3_w6,nongen,180,36006.6,n,,,2.288,s,sat,True,False,,0.999833363883288,1.736451048951049,,3.6027865409851074,1,3.6027865409851074,36010.202786540984,5.890786540985108,0.00010004904894153135,0.6115968582325543,0.9997336586760216,0.6764430227376622
golf_g5_p3_w6_nongen_k270,golf_g5_p3_w6,nongen,270,36002.6,n,,,4.893,s,sat,True,False,,0.9999444484565003,0.811976292662988,,7.025224685668945,1,7.025224685668945,36009.62522468567,11.918224685668946,0.00019509296866697032,0.5894522775792621,0.9997496935006864,0.3343435418597032
golf_g5_p3_w6_nongen_k360,golf_g5_p3_w6,nongen,360,36002.6,n,,,2.533,s,sat,True,False,,0.9999444484565003,1.5684958547177261,,11.199583053588867,1,11.199583053588867,36013.79958305359,13.732583053588867,0.0003109803237439814,0.8155481754513746,0.9996338125454081,0.29016984193989076
golf_g5_p3_w6_nongen_k450,golf_g5_p3_w6,nongen,450,36001.6,n,,,5.115,s,sat,True,False,,0.9999722234567353,0.776735092864125,,15.303152561187744,1,15.303152561187744,36016.903152561186,20.418152561187746,0.00042488807259098086,0.749487619672166,0.9995476742950915,0.19515876581610303
golf_g5_p3_w6_randtrans_k0,golf_g5_p3_w6,randtrans,0,36002.2,n,,,2.454,s,sat,True,False,,1.0,1.0,,0.01780843734741211,1,0.01780843734741211,36002.217808437345,2.4718084373474123,4.94648342004047e-07,0.007204618723011963,1.0,1.0
golf_g5_p3_w6_randtrans_k90,golf_g5_p3_w6,randtrans,90,36004.9,n,,,2.735,s,sat,True,False,,0.9999250102069439,0.8972577696526509,,0.9591841697692871,1,0.9591841697692871,36005.85918416977,3.694184169769287,2.6639668973404172e-05,0.2596470900445635,0.9998988671339906,0.6691080692660172
golf_g5_p3_w6_randtrans_k180,golf_g5_p3_w6,randtrans,180,36000.9,n,,,4.839,s,sat,True,False,,1.0000361102083557,0.5071295722256665,,3.0944998264312744,1,3.0944998264312744,36003.99449982643,7.933499826431275,8.594879177770656e-05,0.390054817436515,0.9999506529368819,0.3115659534159599
golf_g5_p3_w6_randtrans_k270,golf_g5_p3_w6,randtrans,270,36002.3,n,,,3.192,s,sat,True,False,,0.9999972223996798,0.768796992481203,,5.924046754837036,1,5.924046754837036,36008.22404675484,9.116046754837036,0.00016451927057399343,0.6498482197553119,0.9998331981519084,0.27114916189255545
golf_g5_p3_w6_randtrans_k360,golf_g5_p3_w6,randtrans,360,36002.2,n,,,5.095,s,sat,True,False,,1.0,0.48164867517173704,,10.834908485412598,1,10.834908485412598,36013.03490848541,15.929908485412597,0.000300860744254011,0.6801613766541337,0.9996996337555123,0.15516777385199088
golf_g5_p3_w6_randtrans_k450,golf_g5_p3_w6,randtrans,450,36001.3,n,,,2.593,s,sat,True,False,,1.0000249990972547,0.9463941380640186,,15.962146043777466,1,15.962146043777466,36017.26214604378,18.555146043777466,0.00044318043884217847,0.8602544009148572,0.9995823020210299,0.1332141731202564
golf_g5_p3_w6_satsuma_k0,golf_g5_p3_w6,satsuma,0,36000.4,n,,,4.041,s,sat,True,False,,1.0,1.0,,0.0,1,0.0,36000.4,4.041,0.0,0.0,1.0,1.0
