problem,metric,best_method,best_k,value,tool_time_s,d4_time_s,kissat_time_s,total_d4_time_s,total_kissat_time_s,model_count,d4_result,kissat_result,d4_timeout,kissat_timeout
queens_n10,total_d4_time_s,satsuma,60,0.263,0.0,0.263,0.045,0.263,0.045,150.0,sat,sat,False,False
queens_n10,total_kissat_time_s,satsuma,0,0.026,0.0,0.728,0.026,0.728,0.026,724.0,sat,sat,False,False
queens_n10,d4_net_speedup_vs_method_k0,satsuma,60,2.768060836501901,0.0,0.263,0.045,0.263,0.045,150.0,sat,sat,False,False
queens_n10,kissat_net_speedup_vs_method_k0,dihedral_gen,0,1.0,0.0,0.758,0.029,0.758,0.029,724.0,sat,sat,False,False
queens_n11,d4_time_s,dihedral_gen,48,1.608,0.004009723663330078,1.608,0.03,1.6120097236633302,0.03400972366333008,964.0,sat,sat,False,False
queens_n11,kissat_time_s,satsuma,0,0.024,0.0,2.331,0.024,2.331,0.024,2680.0,sat,sat,False,False
queens_n11,model_count,satsuma,120,679.0,0.0039463043212890625,1.905,0.03,1.908946304321289,0.03394630432128906,679.0,sat,sat,False,False
queens_n11,d4_speedup_vs_method_k0,dihedral_gen,48,1.6828358208955223,0.004009723663330078,1.608,0.03,1.6120097236633302,0.03400972366333008,964.0,sat,sat,False,False
queens_n11,kissat_speedup_vs_method_k0,dihedral_gen,48,1.3333333333333335,0.004009723663330078,1.608,0.03,1.6120097236633302,0.03400972366333008,964.0,sat,sat,False,False
queens_n11,models_ratio_vs_method_k0,satsuma,120,0.2533582089552239,0.0039463043212890625,1.905,0.03,1.908946304321289,0.03394630432128906,679.0,sat,sat,False,False
queens_n11,tool_time_s,dihedral_gen,0,0.0,0.0,2.706,0.04,2.706,0.04,2680.0,sat,sat,False,False
queens_n11,total_d4_time_s,dihedral_gen,48,1.6120097236633302,0.004009723663330078,1.608,0.03,1.6120097236633302,0.03400972366333008,964.0,sat,sat,False,False
queens_n11,total_kissat_time_s,satsuma,0,0.024,0.0,2.331,0.024,2.331,0.024,2680.0,sat,sat,False,False
queens_n11,d4_net_speedup_vs_method_k0,dihedral_gen,48,1.6786499239288402,0.004009723663330078,1.608,0.03,1.6120097236633302,0.03400972366333008,964.0,sat,sat,False,False
queens_n11,kissat_net_speedup_vs_method_k0,dihedral_gen,48,1.1761342254929508,0.004009723663330078,1.608,0.03,1.6120097236633302,0.03400972366333008,964.0,sat,sat,False,False
queens_n12,d4_time_s,satsuma,140,3.293,0.0,3.293,0.031,3.293,0.031,7299.0,sat,sat,False,False
queens_n12,kissat_time_s,dihedral_gen,28,0.006,0.0,5.179,0.006,5.179,0.006,5193.0,sat,sat,False,False
queens_n12,model_count,dihedral_gen,84,5173.0,0.0,5.678,0.006,5.678,0.006,5173.0,sat,sat,False,False
queens_n12,d4_speedup_vs_method_k0,satsuma,140,1.2429395687822653,0.0,3.293,0.031,3.293,0.031,7299.0,sat,sat,False,False
